   PID TTY      STAT   TIME COMMAND
  1065 ?        Sl     0:00 /usr/lib/telepathy/mission-control-5
  1067 ?        Sl     0:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
  1072 ?        Sl    12:54 /usr/bin/gnome-shell
  1081 ?        Sl     0:00 /usr/lib/gnome-settings-daemon/gsd-printer
  1093 ?        Sl     0:00 /usr/lib/gnome-shell/gnome-shell-calendar-server
  1100 ?        Sl     0:00 /usr/lib/evolution/evolution-source-registry
  1109 ?        SNl    0:00 /usr/lib/tracker/tracker-miner-apps
  1110 ?        Sl     0:00 /usr/bin/python /usr/share/system-config-printer/applet.py
  1112 ?        Sl     0:00 /usr/lib/evolution/3.12/evolution-alarm-notify
  1114 ?        SNl    0:00 /usr/lib/tracker/tracker-extract
  1124 ?        Sl     0:00 /usr/lib/evolution/evolution-calendar-factory
  1127 ?        SNl    0:00 /usr/lib/tracker/tracker-miner-fs
  1130 ?        Sl     0:00 /usr/lib/tracker/tracker-store
  1135 ?        Sl     0:00 nm-applet
  1142 ?        SNl    0:00 /usr/lib/tracker/tracker-miner-user-guides
  1155 ?        Sl     0:00 zeitgeist-datahub
  1167 ?        S      0:00 /usr/lib/x86_64-linux-gnu/gconf/gconfd-2
  1174 ?        Sl     0:00 /usr/bin/zeitgeist-daemon
  1185 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-metadata
  1189 ?        Sl     0:00 /usr/lib/x86_64-linux-gnu/zeitgeist-fts
  1209 ?        S      0:00 /bin/cat
  1479 ?        S      0:00 dbus-launch --autolaunch=1e482927c1b84bd2920f72619e8e6fef --binary-syntax --close-stderr
  1480 ?        Ss     0:00 /usr/bin/dbus-daemon --fork --print-pid 5 --print-address 7 --session
  1484 ?        Sl     0:00 /usr/lib/dconf/dconf-service
  1532 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.8 /org/gtk/gvfs/exec_spaw/0
